,start_date,end_date,duration,distance,electricity_used,MPGe,mikWh,start_soc,end_soc,temp,start_range,end_range
91,2022-05-27 12:50:26,2022-05-27 12:52:42,00:02:16,0.71,0.1,237.71,7.1,1.0,1.0,71.6,468.59999999999997,468.59999999999997
92,2022-07-17 11:23:59,2022-07-17 11:33:38,00:09:39,3.62,0.51,239.45,7.098039215686274,0.8078,0.7959999999999999,83.2,378.43054117647057,372.90258823529405
93,2022-05-21 20:27:38,2022-05-21 20:36:22,00:08:44,3.1,0.44,237.66,7.045454545454546,0.7490000000000001,0.7451000000000001,81.28,348.285,346.47150000000005
94,2022-10-09 15:02:13,2022-10-09 15:02:45,00:00:32,0.07,0.01,251.32,7.000000000000001,0.9098,0.9176000000000001,68.9,420.3276000000001,423.9312000000001
95,2022-03-26 21:47:39,2022-03-26 21:50:34,00:02:55,1.19,0.17,236.41,6.999999999999999,0.8156,0.8156,46.4,376.80719999999997,376.80719999999997
96,2022-10-14 16:04:05,2022-10-14 16:18:47,00:14:42,4.25,0.61,234.91,6.967213114754099,0.698,0.6823999999999999,66.38,320.9655737704918,313.792131147541
97,2022-09-23 19:42:50,2022-09-23 19:52:47,00:09:57,3.55,0.51,234.4,6.9607843137254894,0.6745,0.6666,53.845,309.8732352941176,306.2438823529411
98,2022-05-18 17:13:57,2022-05-18 17:23:54,00:09:57,3.4,0.49,233.75,6.938775510204081,0.5176,0.5097999999999999,73.4,237.03967346938774,233.46759183673464
99,2022-10-11 16:05:09,2022-10-11 16:17:53,00:12:44,4.51,0.65,234.05,6.938461538461538,0.8628,0.8549,72.63,395.1093046153846,391.49159076923075
100,2022-10-16 11:17:00,2022-10-16 11:20:13,00:03:13,0.97,0.14,233.82,6.928571428571428,0.7058,0.7137,55.4,322.7522571428571,326.36481428571426
101,2022-10-16 14:36:18,2022-10-16 14:44:02,00:07:44,1.94,0.28,232.99,6.928571428571428,0.7137,0.7098,64.4,326.36481428571426,324.5814
102,2022-05-11 17:17:44,2022-05-11 17:24:42,00:06:58,3.37,0.49,231.92,6.877551020408164,0.5097999999999999,0.498,76.995,231.40758367346933,226.05134693877554
103,2022-06-17 20:43:38,2022-06-17 20:55:13,00:11:35,3.68,0.54,229.95,6.814814814814815,0.6628000000000001,0.6509999999999999,78.89,298.11271111111114,292.8053333333333
104,2022-02-26 10:46:20,2022-02-26 10:57:43,00:11:23,3.67,0.54,229.17,6.796296296296296,0.7216,0.7137,28.49,323.67768888888884,320.1341
105,2022-09-27 21:00:51,2022-09-27 21:09:23,00:08:32,5.14,0.76,227.98,6.763157894736842,0.051,0.0392,54.84,22.764789473684207,17.497642105263154
106,2022-10-16 16:11:56,2022-10-16 16:24:18,00:12:22,5.67,0.84,227.36,6.75,0.6901999999999999,0.6745,65.74,307.48409999999996,300.48974999999996
107,2022-07-29 21:03:04,2022-07-29 21:12:52,00:09:48,1.95,0.29,227.13,6.724137931034483,0.7293999999999999,0.7254999999999999,80.88499999999999,323.7026896551724,321.9718965517241
108,2022-04-21 16:23:13,2022-04-21 16:30:52,00:07:39,1.8,0.27,224.87,6.666666666666666,0.6548999999999999,0.6548999999999999,50.555,288.15599999999995,288.15599999999995
109,2022-06-01 12:26:54,2022-06-01 12:41:05,00:14:11,3.13,0.47,224.27,6.659574468085107,0.9451,0.9333,68.4,415.4016127659575,410.21513617021276
110,2022-06-06 15:57:41,2022-06-06 16:13:57,00:16:16,4.5,0.68,223.26,6.617647058823529,0.9216,0.9098,80.6,402.52235294117645,397.3685294117647
111,2022-05-07 14:23:17,2022-05-07 14:57:10,00:33:53,7.0,1.06,222.63,6.60377358490566,0.7254999999999999,0.7020000000000001,51.955,316.2084905660377,305.9660377358491
112,2022-05-17 17:50:48,2022-05-17 18:24:34,00:33:46,17.73,2.69,222.16,6.591078066914498,0.5451,0.498,72.01,237.12457918215617,216.63555390334574
113,2022-08-15 11:42:13,2022-08-15 12:01:12,00:18:59,9.14,1.39,221.61,6.575539568345325,0.6431999999999999,0.6196,84.18,279.139545323741,268.89748489208637
114,2022-06-28 17:56:07,2022-06-28 18:15:33,00:19:26,6.61,1.01,220.69,6.544554455445545,0.7372,0.7216,77.44,318.4266059405941,311.6883326732673
115,2022-03-21 17:40:39,2022-03-21 17:50:52,00:10:13,3.4,0.52,220.55,6.538461538461538,0.7216,0.7137,58.55,311.39815384615383,307.989
116,2022-08-30 16:02:56,2022-08-30 16:22:07,00:19:11,8.41,1.29,219.69,6.51937984496124,0.5726,0.5412,88.68,246.37779534883722,232.86703255813953
117,2022-03-26 16:15:22,2022-03-26 16:19:15,00:03:53,0.52,0.08,217.55,6.5,0.6823999999999999,0.6784,48.425,292.7496,291.0336
118,2022-10-18 16:28:58,2022-10-18 16:59:53,00:30:55,17.73,2.73,218.92,6.4945054945054945,0.8,0.7608,56.25,342.9098901098901,326.1073054945055
119,2022-06-24 20:05:27,2022-06-24 20:21:07,00:15:40,6.62,1.02,218.88,6.490196078431373,0.451,0.4353,76.95,193.18717647058824,186.46203529411764
120,2022-07-18 16:26:51,2022-07-18 16:33:58,00:07:07,1.88,0.29,219.04,6.482758620689656,0.7372,0.7333,73.4,315.4199172413793,313.7512551724138
121,2022-11-04 16:18:51,2022-11-04 16:54:32,00:35:41,19.32,3.0,217.06,6.44,0.6823999999999999,0.6274000000000001,71.28,290.047296,266.67009600000006
122,2022-06-28 12:21:15,2022-06-28 12:26:41,00:05:26,1.22,0.19,216.82,6.421052631578947,0.7726000000000001,0.7764,73.4,327.41974736842104,329.030147368421
123,2022-08-02 16:28:13,2022-08-02 16:39:19,00:11:06,3.59,0.56,216.35,6.410714285714285,0.6392,0.6314,94.25,270.45008571428565,267.14984999999996
124,2022-09-03 13:14:29,2022-09-03 13:23:40,00:09:11,1.92,0.3,215.16,6.4,0.8234999999999999,0.8273999999999999,78.12,347.84639999999996,349.49376
125,2022-10-17 16:27:39,2022-10-17 17:09:15,00:41:36,19.05,2.99,214.76,6.3712374581939795,0.9294,0.8745,60.23,390.814254180602,367.72871237458196
126,2022-09-26 16:49:54,2022-09-26 16:54:58,00:05:04,1.27,0.2,214.77,6.35,0.4118,0.4118,69.8,172.58538,172.58538
127,2022-07-01 17:24:58,2022-07-01 17:56:55,00:31:57,18.49,2.92,213.47,6.332191780821917,0.4902,0.451,85.79,204.86666712328767,188.4840205479452
128,2022-05-26 16:01:56,2022-05-26 16:34:18,00:32:22,17.76,2.82,212.23,6.297872340425533,0.6862,0.6392,72.1,285.22560000000004,265.68960000000004
129,2022-06-07 16:11:16,2022-06-07 16:43:04,00:31:48,17.77,2.83,211.69,6.279151943462897,0.9294,0.8784000000000001,75.27,385.1656918727915,364.0300664310954
130,2022-05-07 15:28:25,2022-05-07 15:45:00,00:16:35,3.57,0.57,211.27,6.2631578947368425,0.7020000000000001,0.6940999999999999,50.31,290.18463157894746,286.91902105263154
131,2022-05-16 21:19:28,2022-05-16 21:33:26,00:13:58,3.57,0.57,210.9,6.2631578947368425,0.6823999999999999,0.6784,64.04,282.08261052631576,280.42913684210527
132,2022-04-11 17:24:15,2022-04-11 17:59:45,00:35:30,18.88,3.03,209.99,6.231023102310231,0.353,0.3059,62.45,145.17037623762374,125.80061782178217
133,2022-04-22 16:23:32,2022-04-22 16:32:38,00:09:06,2.86,0.46,209.3,6.217391304347825,0.6901999999999999,0.6823999999999999,66.62,283.22206956521734,280.02135652173905
134,2022-08-01 17:02:46,2022-08-01 17:22:07,00:19:21,7.44,1.2,208.94,6.2,0.7176,0.698,78.8,293.64192,285.6216
135,2022-10-21 17:46:03,2022-10-21 18:16:18,00:30:15,17.77,2.87,208.65,6.19163763066202,0.6784,0.6314,57.45,277.2268599303136,258.02039999999994
136,2022-06-13 16:39:57,2022-06-13 17:09:57,00:30:00,17.75,2.87,208.44,6.184668989547038,0.9294,0.8862000000000001,85.28,379.37006968641117,361.73634146341465
137,2022-05-12 17:48:05,2022-05-12 17:54:37,00:06:32,1.73,0.28,208.01,6.178571428571428,0.6353,0.6353,73.09,259.0662642857143,259.0662642857143
138,2022-09-11 19:19:52,2022-09-11 19:31:12,00:11:20,5.78,0.94,207.38,6.1489361702127665,0.29410000000000003,0.2784,66.2,119.35454042553194,112.98301276595744
139,2022-11-10 16:10:16,2022-11-10 16:40:32,00:30:16,17.77,2.9,206.52,6.127586206896551,0.698,0.6548999999999999,65.32,282.28564137931033,264.8551096551724
140,2022-09-15 18:22:21,2022-09-15 18:52:15,00:29:54,17.76,2.9,206.39,6.1241379310344835,0.7412000000000001,0.6940999999999999,69.71,299.5879282758621,280.55043310344826
141,2022-05-20 16:04:12,2022-05-20 16:37:24,00:33:12,17.78,2.91,205.89,6.109965635738832,0.31370000000000003,0.2666,73.32,126.50195051546395,107.5085113402062
142,2022-05-12 17:05:06,2022-05-12 17:31:24,00:26:18,15.87,2.6,205.67,6.1038461538461535,0.6901999999999999,0.6431999999999999,79.37,278.0497246153846,259.1155938461538
143,2022-02-27 14:12:42,2022-02-27 14:24:13,00:11:31,3.6,0.59,205.71,6.101694915254238,0.7412000000000001,0.7293999999999999,46.4,298.4900338983051,293.73803389830505
